CategoryName,ItemName,ItemType,Macros Name,Price,Barcode,Micros number
Deli,Base ,Base,Base,4.75,3001,
Deli,Base  ,Base,Base,4.25,3001,
Deli,Base ,Base,Base,3.5,3001,
Deli,Base  ,Base,Base,5.5,3001,
Deli,Side Avocado\,Base,Base,0.75,3001,
Deli,Roll,Base,Base,0.75,3001,
Deli,Side Veggies,Base,Base,2,3001,
Deli,Cheese,Addon,Addon,0.6,3001,
Deli,Bacon,Addon,Addon,0.52,3001,
Deli,Avocado,Addon,Addon,0.75,3001,
Deli,Peppers,Addon,Addon,0.5,3001,
Deli,Double Protein,Addon,Addon,2.25,3001,
Deli,Fresh Mozzarella,Addon,Addon,1,3001,
Deli,Triple Protein,Addon,Addon,4.5,3001,
Deli,Sandwich with Cheese    $5.35,Shortcut,Shortcut1,5.35,3001,
Deli,Specialty Sandwich               $5.50,Shortcut,Shortcut2,5.5,3001,
Grill,Base $4.95,Base,Base,4.95,3002,
Grill,Base $6.95,Base,Base,6.95,3002,
Grill,Base $7.95,Base,Base,7.95,3002,
Grill,Base $8.95,Base,Base,8.95,3002,
Grill,Fries,BaseOrAddon,BaseOrAddon,1,3002,
Grill,Sweet Potato Fries,BaseOrAddon,BaseOrAddon,1.25,3002,
Grill,Onion Rings,BaseOrAddon,BaseOrAddon,1.5,3002,
Grill,Cheese,Addon,Addon,0.6,3002,
Grill,Bacon,Addon,Addon,0.52,3002,
Grill,GF Bread,Addon,Addon,2,3002,
Grill,Chicken Fingers & Fries,Shortcut,Shortcut1,4.15,3002,
Grill,Cheeseburger & Fries,Shortcut,Shortcut2,6.55,3002,
Breakfast Grill,1 Egg,Base,Base,0.45,3003,
Breakfast Grill,1 Egg White,Base,Base,0.6,3003,
Breakfast Grill,2 Eggs,Base,Base,0.9,3003,
Breakfast Grill,2 Egg Whites,Base,Base,1.2,3003,
Breakfast Grill,Base $2.50,Base,Base,2.5,3003,
Breakfast Grill,Base $3.50,Base,Base,3.5,3003,
Breakfast Grill,1 Egg,Addon,Addon,0.45,3003,
Breakfast Grill,1 Egg White,Addon,Addon,0.6,3003,
Breakfast Grill,2 Eggs,Addon,Addon,0.9,3003,
Breakfast Grill,2 Egg Whites,Addon,Addon,1.2,3003,
Breakfast Grill,Cheese,Addon,Addon,0.6,3003,
Breakfast Grill,Add Meat,Addon,Addon,1,3003,
Breakfast Grill,Add Veg,Addon,Addon,0.6,3003,
Breakfast Grill,Add 2 Veg,Addon,Addon,1.2,3003,
Breakfast Grill,Croissant/Bagel,Addon,Addon,1,3003,
Breakfast Grill,GF Bread,Addon,Addon,2,3003,
Breakfast Grill,,Shortcut,Shortcut1,2,3003,
Breakfast Grill,,Shortcut,Shortcut2,3,3003,
